dataset,series_id,regime,rho_interval_abs_train,relative_gain,delta_rmse,rmse_point,rmse_hurdle,ADI_selection,CV2_selection,zero_ratio_train,n_positive_train,n_positive_test
m5,FOODS_2_030_CA_1_evaluation,smooth,0.0096138479493365,0.04616445153881982,0.100154639443434,2.1695186686928074,2.0693640292493733,1.1409856519026824,0.314259037893485,0.1235647895024603,1603,79
m5,FOODS_2_041_CA_2_evaluation,intermittent,0.0191483690626538,-0.021523762965209834,-0.0205742547517641,0.955885584923952,0.9764598396757164,16.04385964912281,0.2662620789998899,0.8392101551480959,114,33
m5,FOODS_2_044_TX_3_evaluation,lumpy,0.027448132835648,-0.003914725963582687,-0.0065912399261875,1.6837040414842517,1.6902952814104393,12.112582781456954,0.49008828513249886,0.4365671641791044,151,53
m5,FOODS_2_045_WI_3_evaluation,intermittent,0.0050192932139529,-0.02000752990762661,-0.017621727410675,0.8807547704305982,0.8983764978412733,3.75564681724846,0.3213991582339723,0.5548446069469836,487,46
m5,FOODS_2_047_WI_3_evaluation,lumpy,0.0099427944257826,-0.0792171819988498,-0.0785085575739688,0.9910546625492018,1.0695632201231706,1.6344950848972297,0.5849459898089352,0.3881902679059595,1119,53
m5,FOODS_2_054_CA_2_evaluation,intermittent,0.002829928216455,0.014747971374551845,0.0381567305399799,2.587252820806305,2.549096090266325,10.392045454545455,0.4301171384425687,0.3070866141732283,176,69
m5,FOODS_2_054_CA_3_evaluation,erratic,0.1448696112514871,-0.0353035458417757,-0.0785501387184424,2.2249928964781707,2.303543035196613,1.2333108563722184,0.6664047201990873,0.1891744122471295,1483,68
m5,FOODS_2_054_TX_2_evaluation,smooth,0.0278408604476165,0.04034312705832948,0.07955730808969,1.972016397605057,1.892459089515367,1.1923076923076923,0.4157744157406289,0.1612903225806451,1534,64
m5,FOODS_2_065_TX_1_evaluation,erratic,0.077827775257072,0.028197741586123648,0.0473752191859957,1.6801068639237922,1.6327316447377964,1.3082975679542204,0.763063359895218,0.2356478950246036,1398,52
m5,FOODS_2_065_TX_2_evaluation,erratic,0.011730910526307,-0.001709949189979448,-0.0054458540040895,3.18480457548271,3.1902504294868,1.2934936350777935,0.5272084039989893,0.2268999453253143,1414,57
m5,FOODS_2_072_CA_1_evaluation,lumpy,0.0063250289651533,0.0062252337628824275,0.0074497333449132,1.1966993736575444,1.1892496403126311,2.67007299270073,0.5976509314705909,0.6254784034991798,685,41
m5,FOODS_2_077_CA_4_evaluation,intermittent,0.0366893551898393,0.04241167149913867,0.0279851548397636,0.6598456002926445,0.6318604454528809,8.506976744186046,0.22736565937895348,0.8496503496503497,215,28
m5,FOODS_2_080_CA_1_evaluation,lumpy,0.0001230095312817,0.013381554956917752,0.0302931963481629,2.2638024090393527,2.2335092126911897,2.5367545076282942,0.505869992145631,0.6057955166757791,721,12
m5,FOODS_2_082_CA_3_evaluation,smooth,0.0327540780896785,-0.02398806852132934,-0.0530093586948301,2.2098218807277488,2.262831239422579,1.3139367816091954,0.3608252439698115,0.238928376161837,1392,80
m5,FOODS_2_082_TX_1_evaluation,smooth,0.1570645688686714,0.07280445349083227,0.0986140595574767,1.3545058692033782,1.2558918096459015,1.232479784366577,0.37340542466378396,0.1855104281009879,1484,57
m5,FOODS_2_085_WI_3_evaluation,lumpy,0.0225661867100331,-0.08134284449152042,-0.0882371133967585,1.0847556899237372,1.1729928033204955,2.1568396226415096,0.5945499319636631,0.5254616675993284,848,51
m5,FOODS_2_089_CA_3_evaluation,intermittent,0.0039637411075228,-0.015621412448260708,-0.0177557245065729,1.1366273418220787,1.1543830663286516,5.443452380952381,0.3240103354665679,0.4683544303797468,336,57
